State time, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z, Encoder angle, Encoder velocity, Encoder acceleration, Motor voltage, Motor current, Battery voltage, Battery current, Ankle angle, Ankle vel, Percent Gait, Heelstrike Armed, Segmentation Trigger, Expected Duration, Current Command, Torque Command, Soft Sensor Time, Hip Soft Sensor, Knee Soft Sensor, MHE Percent Gait, 
 411275,88,-344,-8290,-15,-41,38,328,7,-1,0,-2,180,-59,2934,0,-1,0,0,-1,nan,nan,-1,-1,-1,-1,
 414655,138,-370,-8306,3,29,38,330,6,3,5168,3,179,-72,2935,0,-1,0,0,-1,400,56.0,81.61,81.61,82.06,-1,
 414665,154,-384,-8236,-15,-95,38,327,1,1,5160,-3,181,-60,2935,0,-1,0,0,-1,400,56.0,262.0,80.95,81.61,-1,
 414675,126,-372,-8268,-33,-136,47,327,2,2,5176,-1,179,-64,2936,0,-1,0,0,-1,400,56.0,577.0,80.62,81.73,-1,
 414685,50,-374,-8354,-26,-127,39,327,0,-2,5168,0,178,-42,2935,0,-1,0,0,-1,400,56.0,1007.0,79.97,81.39,-1,
 414695,90,-370,-8340,-16,-57,38,328,-1,1,5160,-8,174,-69,2935,0,-1,0,0,-1,400,56.0,1305.0,79.54,81.84,-1,
 414705,52,-372,-8292,-9,43,37,328,3,0,5168,1,176,-57,2935,0,-1,0,0,-1,400,56.0,1503.0,79.65,81.5,-1,
 414715,76,-382,-8324,-10,53,39,327,-2,-2,5168,-1,177,-87,2933,0,-1,0,0,-1,400,56.0,2381.0,79.86,81.95,-1,
 414725,100,-380,-8288,-6,-21,38,328,-4,-2,5168,0,177,-72,2935,0,-1,0,0,-1,400,56.0,2696.0,80.84,82.29,-1,
 414735,98,-352,-8248,-20,-82,40,329,8,0,5168,-3,176,-90,2936,0,-1,0,0,-1,400,56.0,2796.0,81.17,82.29,-1,
 414745,96,-368,-8292,-32,-113,45,328,2,4,5152,0,174,-71,2935,0,-1,0,0,-1,400,56.0,3044.0,81.17,82.18,-1,
 414755,70,-390,-8312,-29,-95,41,327,0,1,5168,2,176,-66,2935,0,-1,0,0,-1,400,56.0,3342.0,80.84,82.18,-1,
 414765,64,-382,-8304,-12,-22,41,327,-1,3,5160,1,180,-63,2936,0,-1,0,0,-1,400,56.0,3740.0,80.73,82.29,-1,
 414775,80,-374,-8288,-6,5,36,328,0,1,5160,3,180,-56,2935,0,-1,0,0,-1,400,56.0,3989.0,80.73,82.18,-1,
 414805,102,-376,-8262,-19,-59,38,327,0,-5,5168,-1,183,-26,2935,0,-1,0,0,-1,400,56.0,4503.0,80.95,82.18,-1,
 414815,90,-390,-8300,-18,-66,41,328,2,1,5168,0,184,-50,2935,0,-1,0,0,-1,400,56.0,4519.0,80.95,82.18,-1,
 414825,90,-360,-8300,-22,-64,38,328,1,3,5168,-1,179,-57,2934,0,-1,0,0,-1,400,56.0,4535.0,80.84,82.18,-1,
 414835,82,-382,-8292,-15,-51,37,328,0,2,5168,0,182,-63,2934,0,-1,0,0,-1,400,56.0,4552.0,80.95,82.18,-1,
 414865,106,-372,-8296,-16,-45,37,327,2,0,5168,-2,183,-43,2933,0,-1,0,0,-1,400,56.0,4568.0,80.95,82.18,-1,
 414875,96,-370,-8330,-24,-51,43,327,-1,0,5160,-1,178,-60,2935,0,-1,0,0,-1,400,56.0,4585.0,80.95,82.18,-1,
 414885,92,-354,-8286,-11,-43,45,327,0,-1,5168,1,176,-76,2933,0,-1,0,0,-1,400,56.0,4602.0,80.95,82.18,-1,
 414895,68,-348,-8300,-19,-33,37,328,2,-1,5160,0,178,-48,2935,0,-1,0,0,-1,400,56.0,4618.0,80.95,82.18,-1,
 414915,86,-378,-8300,-15,-46,38,329,2,2,5168,-1,183,-24,2935,0,-1,0,0,-1,400,56.0,4635.0,80.84,82.18,-1,
 414925,96,-386,-8316,-16,-47,42,329,5,4,5168,-2,180,-49,2934,0,-1,0,0,-1,400,56.0,4651.0,80.95,82.18,-1,
 414955,90,-368,-8300,-15,-33,41,328,0,3,5168,1,182,-49,2934,0,-1,0,0,-1,400,56.0,4667.0,80.95,82.18,-1,
 414965,86,-388,-8296,-14,-45,38,328,0,1,5168,-2,182,-41,2935,0,-1,0,0,-1,400,56.0,4685.0,80.95,82.18,-1,
 414975,88,-388,-8306,-14,-48,39,328,0,-1,5152,1,177,-47,2934,0,-1,0,0,-1,400,56.0,4701.0,80.95,82.29,-1,
 415005,72,-376,-8278,-16,-34,34,328,0,3,5184,-2,179,-82,2935,0,-1,0,0,-1,400,56.0,4734.0,80.95,82.29,-1,
 415035,66,-402,-8300,-18,-37,42,328,4,0,5168,3,186,-42,2935,0,-1,0,0,-1,400,56.0,4750.0,80.95,82.29,-1,
 415055,94,-382,-8298,-16,-37,43,328,0,-4,5168,0,183,4,2935,0,-1,0,0,-1,400,56.0,4768.0,80.84,82.18,-1,
 415075,86,-396,-8292,-15,-44,40,327,-1,-1,5160,0,181,-33,2934,0,-1,0,0,-1,400,56.0,4784.0,80.95,82.18,-1,
 415095,76,-358,-8304,-17,-37,39,329,0,4,5168,0,175,-76,2935,0,-1,0,0,-1,400,56.0,4801.0,80.84,82.29,-1,
 415105,76,-370,-8308,-14,-33,41,327,-1,-5,5168,3,175,-110,2935,0,-1,0,0,-1,400,56.0,4833.0,80.95,82.29,-1,
 415115,90,-362,-8304,-15,-35,41,329,3,3,5168,-1,178,-94,2935,0,-1,0,0,-1,400,56.0,4850.0,80.95,82.18,-1,
 415135,94,-350,-8294,-17,-35,40,328,-2,5,5176,-1,183,-57,2934,0,-1,0,0,-1,400,56.0,4867.0,80.95,82.29,-1,
 415155,110,-374,-8298,-17,-34,38,328,6,-2,5168,0,182,-50,2935,0,-1,0,0,-1,400,56.0,4884.0,80.84,82.18,-1,
 415175,82,-398,-8274,-10,-44,39,327,0,-1,5160,0,181,-29,2935,0,-1,0,0,-1,400,56.0,4900.0,80.95,82.18,-1,
 415195,102,-362,-8306,-15,-47,41,328,5,1,5168,1,182,-32,2934,0,-1,0,0,-1,400,56.0,4916.0,80.84,82.18,-1,
 415205,90,-364,-8298,-23,-43,39,328,1,-2,5168,-1,185,-48,2933,0,-1,0,0,-1,400,56.0,4933.0,80.84,82.18,-1,
 415225,76,-344,-8284,-20,-43,43,328,3,-6,5160,0,185,-47,2935,0,-1,0,0,-1,400,56.0,4950.0,80.84,82.29,-1,
 415245,92,-388,-8308,-15,-43,41,327,-2,-3,5168,-3,176,-34,2935,0,-1,0,0,-1,400,56.0,4966.0,80.95,82.29,-1,
 415255,72,-396,-8308,-19,-38,40,328,-4,-2,5160,1,182,-20,2935,0,-1,0,0,-1,400,56.0,4983.0,80.84,82.29,-1,
 415275,94,-390,-8284,-16,-31,36,327,-8,-2,5160,-3,183,0,2935,0,-1,0,0,-1,400,56.0,4999.0,80.95,82.29,-1,
 415285,62,-398,-8304,-14,-28,37,328,-1,-1,5160,1,182,2,2935,0,-1,0,0,-1,400,56.0,5016.0,80.95,82.29,-1,
 415315,98,-392,-8292,-16,-56,38,328,1,-1,5168,2,176,-44,2935,0,-1,0,0,-1,400,56.0,5032.0,80.95,82.18,-1,
 415325,102,-370,-8306,-14,-54,39,328,-1,2,5160,1,178,-41,2935,0,-1,0,0,-1,400,56.0,5049.0,80.95,82.29,-1,
 415355,110,-394,-8254,-13,-26,36,328,5,0,5160,-3,185,-44,2935,0,-1,0,0,-1,400,56.0,5066.0,81.06,82.18,-1,
 415365,80,-332,-8298,-21,-39,43,328,-1,2,5168,-2,188,-5,2935,0,-1,0,0,-1,400,56.0,5082.0,81.06,82.29,-1,
 415395,66,-352,-8308,-20,-41,40,328,-5,0,5160,-1,181,-50,2935,0,-1,0,0,-1,400,56.0,5099.0,81.06,82.29,-1,
 415415,108,-352,-8266,-19,-43,39,328,2,1,5168,-4,183,-5,2935,0,-1,0,0,-1,400,56.0,5115.0,81.06,82.29,-1,
 415425,82,-372,-8310,-13,-29,33,328,6,-7,5160,-2,182,-28,2935,0,-1,0,0,-1,400,56.0,5132.0,81.06,82.29,-1,
 415445,82,-368,-8272,-19,-29,42,328,3,1,5168,-1,181,-17,2934,0,-1,0,0,-1,400,56.0,5149.0,81.17,82.29,-1,
 415455,80,-366,-8326,-15,-30,38,329,0,4,5168,-2,181,-20,2934,0,-1,0,0,-1,400,56.0,5165.0,81.17,82.29,-1,
 415485,128,-372,-8320,-18,-42,38,329,8,-4,5168,-1,186,-41,2933,0,-1,0,0,-1,400,56.0,5198.0,81.17,82.29,-1,
 415495,94,-374,-8314,-16,-47,36,327,0,-2,5168,-1,182,-56,2934,0,-1,0,0,-1,400,56.0,5215.0,81.17,82.29,-1,
 415515,102,-384,-8300,-11,-30,37,329,11,-5,5168,-4,179,-84,2935,0,-1,0,0,-1,400,56.0,5232.0,81.17,82.29,-1,
 415525,58,-362,-8302,-11,-3,43,328,0,1,5168,-2,182,-94,2934,0,-1,0,0,-1,400,56.0,5248.0,81.17,82.29,-1,
 415535,88,-390,-8298,-7,3,37,328,4,0,5168,-3,179,-66,2935,0,-1,0,0,-1,400,56.0,5248.0,81.17,82.29,-1,
 415545,96,-382,-8282,-11,-7,39,327,-4,0,5168,-2,177,-58,2936,0,-1,0,0,-1,400,56.0,5264.0,81.17,82.18,-1,
 415565,96,-386,-8290,-13,-40,40,328,1,-1,5176,-2,181,-39,2935,0,-1,0,0,-1,400,56.0,5281.0,81.17,82.18,-1,
 415595,96,-370,-8274,-8,-33,42,328,0,1,5168,2,185,-27,2935,0,-1,0,0,-1,400,56.0,5297.0,81.17,82.29,-1,
 415615,108,-390,-8320,-9,-47,37,329,2,-1,5168,-1,182,-74,2935,0,-1,0,0,-1,400,56.0,5315.0,81.06,82.29,-1,
 415625,104,-426,-8280,-21,-58,34,328,5,1,5168,0,178,-117,2935,0,-1,0,0,-1,400,56.0,5347.0,80.95,82.18,-1,
 415645,106,-386,-8318,-18,-54,42,328,2,-2,5176,0,178,-96,2934,0,-1,0,0,-1,400,56.0,5364.0,80.95,82.18,-1,
 415655,86,-390,-8294,-19,-53,37,328,1,3,5168,2,183,-74,2935,0,-1,0,0,-1,400,56.0,5380.0,80.95,82.18,-1,
 415675,84,-378,-8298,-24,-55,42,328,4,0,5168,-2,181,-67,2934,0,-1,0,0,-1,400,56.0,5398.0,80.95,82.18,-1,
 415695,100,-388,-8304,-22,-56,46,328,0,-4,5168,-3,178,-50,2933,0,-1,0,0,-1,400,56.0,5414.0,80.84,82.18,-1,
 415715,108,-400,-8282,-18,-62,40,329,6,2,5168,1,181,-44,2935,0,-1,0,0,-1,400,56.0,5430.0,80.84,82.18,-1,
 415725,82,-390,-8310,-19,-43,37,328,0,3,5168,-2,182,-28,2934,0,-1,0,0,-1,400,56.0,5447.0,80.84,82.18,-1,
 415735,100,-382,-8300,-11,-38,42,328,2,-2,5168,3,183,-5,2935,0,-1,0,0,-1,400,56.0,5463.0,80.84,82.18,-1,
 415775,102,-384,-8326,-15,-42,38,328,0,-1,5168,2,182,-15,2935,0,-1,0,0,-1,400,56.0,5481.0,80.84,82.18,-1,
 415795,90,-358,-8288,-21,-40,44,328,-7,-2,5168,0,178,-91,2935,0,-1,0,0,-1,400,56.0,5497.0,80.95,82.29,-1,
