State time, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z, Encoder angle, Encoder velocity, Encoder acceleration, Motor voltage, Motor current, Battery voltage, Battery current, Ankle angle, Ankle vel, Percent Gait, Heelstrike Armed, Segmentation Trigger, Expected Duration, Current Command, Torque Command, Soft Sensor Time, Hip Soft Sensor, Knee Soft Sensor, MHE Percent Gait, 
 411403,-422,70,8180,-12,10,22,9821,1,1,0,6,178,4,4878,0,-1,0,0,-1,nan,nan,-1,-1,-1,-1,
 412433,-428,70,8178,-15,13,27,9822,1,-2,5176,0,179,81,4878,0,-1,0,0,-1,400,56.0,81.61,-1,-1,-1,
 412443,-434,88,8192,-17,14,25,9820,-3,-2,5168,5,179,58,4878,0,-1,0,0,-1,400,56.0,183840.0,81.61,82.06,-1,
 412453,-402,56,8156,-20,15,30,9821,-1,-6,5168,4,179,33,4879,0,-1,0,0,-1,400,56.0,65.0,81.61,81.95,-1,
 412463,-408,70,8184,-18,18,29,9821,3,-2,5184,2,178,22,4878,0,-1,0,0,-1,400,56.0,362.0,81.73,82.06,-1,
 412473,-436,50,8164,-18,19,29,9822,-4,0,5160,5,178,51,4879,0,-1,0,0,-1,400,56.0,1835.0,80.73,79.86,-1,
 412483,-402,56,8162,-12,12,29,9821,-4,1,5160,4,176,45,4878,0,-1,0,0,-1,400,56.0,2099.0,80.62,80.29,-1,
 412493,-382,72,8180,-19,16,29,9821,0,-2,5160,0,176,55,4878,0,-1,0,0,-1,400,56.0,2481.0,80.51,80.29,-1,
 412503,-426,74,8174,-22,13,28,9822,4,1,5168,3,180,66,4878,0,-1,0,0,-1,400,56.0,2978.0,81.39,80.73,-1,
 412513,-434,68,8164,-16,15,25,9822,0,1,5176,0,181,73,4879,0,-1,0,0,-1,400,56.0,3276.0,81.5,80.51,-1,
 412523,-400,64,8158,-16,19,27,9822,3,1,5168,1,182,77,4878,0,-1,0,0,-1,400,56.0,3409.0,81.39,80.62,-1,
 412533,-404,68,8178,-13,17,29,9822,0,-1,5168,0,179,58,4878,0,-1,0,0,-1,400,56.0,3624.0,81.39,81.17,-1,
 412543,-430,60,8162,-17,18,31,9821,1,-2,5176,1,179,55,4878,0,-1,0,0,-1,400,56.0,3889.0,81.5,81.06,-1,
 412553,-392,70,8156,-11,10,26,9823,4,-2,5160,6,178,38,4879,0,-1,0,0,-1,400,56.0,4187.0,81.73,81.06,-1,
 412563,-390,44,8154,-13,17,27,9822,-4,2,5176,5,178,23,4878,0,-1,0,0,-1,400,56.0,4287.0,81.61,81.17,-1,
 412573,-436,44,8162,-15,15,27,9822,-3,-2,5160,4,178,20,4878,0,-1,0,0,-1,400,56.0,4436.0,81.61,81.06,-1,
 412583,-392,60,8170,-18,11,25,9820,-2,2,5160,1,181,45,4878,0,-1,0,0,-1,400,56.0,4503.0,81.61,81.17,-1,
 412603,-398,64,8160,-17,16,24,9822,0,-4,5168,3,180,50,4878,0,-1,0,0,-1,400,56.0,4519.0,81.61,81.17,-1,
