state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
410895,96,-370,-8322,-19,-30,39,328,3,6,0,0,182,-45,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,2544,0
410905,94,-364,-8290,-15,-39,40,328,-2,-1,0,0,182,-50,26,144,0,6,0,0,0,0,0,0,-32327,0,0,0,2935,0,410895,0
410915,102,-396,-8298,-13,-41,40,328,-2,-3,0,0,182,-34,26,144,0,6,0,0,0,0,0,0,-32327,0,0,0,2935,0,410895,0
410925,86,-386,-8286,-15,-53,36,327,-5,2,7,0,183,-28,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,410895,0
410935,64,-370,-8318,-16,-48,39,328,-3,0,-2,0,184,-32,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,410895,0
410945,90,-360,-8300,-18,-36,41,328,0,-3,2,0,179,-48,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2934,0,410895,0
410955,70,-390,-8324,-15,-32,39,328,3,2,4,0,182,-73,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2933,0,410895,0
410965,100,-380,-8292,-14,-36,38,327,-2,1,0,0,179,-76,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,410895,0
410975,98,-376,-8302,-16,-42,39,328,0,2,0,0,182,-73,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,410895,0
410985,82,-348,-8308,-19,-41,43,327,1,1,0,0,179,-63,26,144,0,6,0,0,0,0,0,0,-32327,0,0,0,2935,0,410895,0
410995,90,-344,-8320,-18,-45,41,328,-5,4,-1,0,180,-72,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,410895,0
411005,84,-400,-8296,-18,-36,43,327,1,-2,1,0,181,-37,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,410897,0
411015,80,-398,-8306,-9,-34,38,328,3,2,-1,0,182,-28,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,410903,0
411025,68,-372,-8280,-18,-42,38,327,-2,-4,4,0,183,-32,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2934,0,410919,0
411035,96,-370,-8268,-18,-44,39,328,2,1,0,0,182,-45,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,410926,0
411045,70,-366,-8276,-19,-39,39,329,3,2,0,0,180,-62,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2936,0,410936,0
411055,130,-364,-8330,-18,-38,36,328,-1,2,2,0,182,-71,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,410943,0
411065,94,-370,-8280,-18,-34,37,328,0,4,1,0,182,-66,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2934,0,410956,0
411075,120,-382,-8286,-17,-36,43,329,0,5,0,0,177,-87,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2936,0,410964,0
411085,82,-370,-8290,-17,-41,39,328,-5,0,-3,0,179,-73,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,410975,0
411095,64,-364,-8300,-16,-42,43,328,0,-3,0,0,179,-77,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2934,0,410986,0
411105,76,-350,-8304,-20,-36,38,328,1,-5,1,0,184,-96,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,410993,0
411115,106,-376,-8296,-17,-38,42,328,-3,0,-1,0,178,-86,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411003,0
411125,82,-376,-8288,-11,-39,41,328,0,-6,4,0,178,-88,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411024,0
411135,92,-376,-8330,-13,-47,37,328,0,0,-5,0,176,-112,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411026,0
411145,104,-366,-8348,-18,-40,42,328,4,-1,4,0,179,-100,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411064,0
411155,82,-356,-8310,-17,-41,42,328,3,-4,0,0,177,-101,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411070,0
411165,96,-372,-8318,-11,-35,44,328,-3,0,-1,0,178,-62,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411073,0
411175,98,-352,-8276,-18,-39,42,329,0,4,0,0,180,-38,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411078,0
411185,114,-404,-8304,-17,-40,39,328,3,1,1,0,182,-31,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411080,0
411195,96,-382,-8286,-19,-43,37,328,0,3,2,0,183,-20,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411084,0
411205,110,-372,-8290,-14,-41,37,329,2,-2,5,0,186,-20,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411093,0
411215,106,-366,-8298,-16,-41,42,328,-3,0,-3,0,185,-15,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411108,0
411225,88,-388,-8300,-17,-36,39,328,0,-1,2,0,185,-51,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411113,0
411235,84,-364,-8298,-21,-38,44,328,6,3,-2,0,180,-69,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411129,0
411245,90,-398,-8310,-14,-43,40,327,-6,0,5,0,180,-71,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411136,0
411255,74,-376,-8294,-19,-40,42,328,0,-2,0,0,176,-82,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411146,0
411265,110,-364,-8300,-19,-38,48,328,1,-3,1,0,174,-63,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411153,0
411275,88,-344,-8290,-15,-41,38,328,7,-1,-2,0,180,-59,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2934,0,411166,0
411285,78,-386,-8298,-17,-43,40,328,0,-4,-3,0,179,-53,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411173,0
411295,90,-386,-8286,-17,-38,39,329,9,4,0,0,184,-52,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411190,0
